focal_length_px,position_p95_m,final_error_m,endpoint_scale,path_scale,median_speed_ratio,velocity_direction_p95_deg,heading_p95_deg,tilt_attitude_p95_deg
260,627.018,726.910,3.576,3.546,3.065,171.32,20.15,15.82
280,380.675,430.828,1.717,1.774,1.547,171.62,17.43,8.69
300,30.768,33.256,1.186,1.436,1.364,17.59,1.88,3.48
310,49.474,53.509,1.320,1.535,1.490,16.34,2.17,3.53
315,115.629,142.575,1.871,2.031,1.668,17.82,2.68,6.54
320,20.821,20.578,1.122,1.215,1.226,6.60,2.49,2.39
325,18.610,18.585,1.104,1.218,1.231,8.40,3.87,2.58
330,78.027,19.566,0.987,1.336,0.625,144.19,6.76,9.42
340,46.253,20.169,0.901,1.144,0.710,46.52,4.84,4.30
360,582.252,678.105,5.203,5.291,4.888,18.86,33.46,20.70
380,162.848,209.498,2.267,2.505,2.008,23.60,19.89,12.44
