tilt_up_deg,position_p95_m,final_error_m,endpoint_scale,path_scale,median_speed_ratio,velocity_direction_p95_deg,heading_p95_deg,tilt_attitude_p95_deg
10,429.603,520.263,4.223,4.147,3.828,18.10,4.02,12.33
15,520.316,609.074,4.778,4.743,4.397,18.19,25.05,15.59
17.5,76.083,83.911,1.520,1.669,1.553,15.84,1.61,3.08
19,75.195,82.113,1.509,1.643,1.545,14.64,1.75,3.29
19.5,22.093,22.214,1.128,1.241,1.255,9.18,3.95,2.55
20,20.821,20.578,1.122,1.215,1.226,6.60,2.49,2.39
20.25,10.689,10.882,1.054,1.149,1.164,5.34,2.67,2.33
20.4,8.250,8.572,1.035,1.125,1.125,4.81,2.95,2.27
20.5,6.240,6.813,1.023,1.113,1.102,4.85,2.43,2.25
20.6,6.463,7.236,1.023,1.114,1.099,4.91,2.69,2.25
20.7,5.548,6.559,1.011,1.105,1.082,4.96,2.87,2.24
20.75,5.189,6.181,0.998,1.096,1.061,4.99,2.78,2.24
20.8,4.779,5.682,0.997,1.092,1.045,5.00,2.62,2.22
20.9,6.271,6.936,0.978,1.091,1.036,5.06,2.73,2.36
21,10.174,10.322,0.951,1.060,0.980,5.11,3.14,2.35
22.5,48.884,47.827,0.709,0.878,0.671,33.06,6.41,2.57
25,62.555,72.734,1.160,1.413,0.692,74.50,19.03,10.93
30,148.443,167.761,1.002,1.233,0.861,105.32,5.93,9.08
